"TIME","GEO","C_RESID","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","223,628,967","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Number","Hotels and similar accommodation","180,948,679",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","42,680,288","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Number","Holiday and other short-stay accommodation","24,567,345","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","18,112,943","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Percentage change on previous period","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9.05","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Percentage change on previous period","Hotels and similar accommodation","7.13",""
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4.26","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Percentage change on previous period","Holiday and other short-stay accommodation","7.1","e"
"2010","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Foreign country","Percentage change on previous period","Camping grounds, recreational vehicle parks and trailer parks","0.65","e"
